,Amount,Boxes Shipped,Discount,Cost,Profit,Cluster
0,4407.72,157,25,3482.71,925.01,6
1,9957.63,170,25,5258.2,4699.43,8
2,1011.86,200,10,629.71,382.15,9
3,5648.6,94,25,3761.73,1886.87,6
4,9733.05,138,0,6963.22,2769.83,7
5,4574.02,122,25,2984.07,1589.95,6
6,6461.58,101,10,5414.05,1047.53,7
7,6866.53,191,20,5514.77,1351.76,6
8,8087.38,54,0,4048.55,4038.83,4
9,4842.92,164,10,3137.43,1705.49,2
10,8758.68,33,5,7061.4,1697.28,4
11,2012.98,24,5,1342.76,670.22,5
12,6311.37,76,0,5232.34,1079.03,0
13,8412.81,124,10,7027.42,1385.39,7
14,2844.97,47,0,1696.73,1148.24,5
15,4591.31,5,0,3743.18,848.13,0
16,4668.04,64,20,2893.61,1774.43,6
17,7562.66,141,20,5996.49,1566.17,6
18,2155.09,167,0,1291.03,864.06,9
19,4445.37,164,5,3186.08,1259.29,2
20,2857.49,169,5,1551.48,1306.01,9
21,6108.6,125,0,5160.17,948.43,7
22,2287.12,10,5,1752.69,534.43,5
23,3970.19,188,0,2025.95,1944.24,2
24,6473.74,120,0,4617.82,1855.92,7
25,9472.64,127,20,6350.98,3121.66,8
26,2444.48,97,0,1988.99,455.49,5
27,4259.49,123,0,2747.79,1511.7,2
28,4817.53,197,0,3060.17,1757.36,2
29,8671.82,84,0,4350.27,4321.55,1
30,9826.73,60,15,5430.67,4396.06,8
31,6014.36,136,0,4034.85,1979.51,2
32,6218.33,79,0,4052.08,2166.25,0
33,3568.99,198,0,2202.24,1366.75,2
34,9602.89,119,15,6769.88,2833.01,8
35,6399.24,157,0,3284.13,3115.11,1
36,6809.36,187,20,4031.29,2778.07,6
37,4853.41,185,0,3830.24,1023.17,2
38,5312.44,87,0,3023.46,2288.98,0
39,877.45,3,25,448.2,429.25,3
40,605.65,176,15,318.34,287.31,3
41,3399.57,60,0,2667.55,732.02,5
42,7700.75,107,10,4988.03,2712.72,1
43,8087.92,116,0,6717.77,1370.15,7
44,5009.06,167,0,3770.84,1238.22,2
45,4768.15,22,0,2881.9,1886.25,0
46,2539.17,71,0,1823.5,715.67,5
47,9600.21,151,0,6510.63,3089.58,1
48,1283.82,68,0,767.32,516.5,5
49,4677.5,111,25,3205.47,1472.03,6
50,2608.64,45,0,1304.41,1304.23,5
51,4328.43,16,0,3540.55,787.88,0
52,5862.53,44,0,2945.82,2916.71,0
53,1797.2,110,0,998.38,798.82,9
54,2604.83,195,25,1948.15,656.68,3
55,9447.33,57,5,5812.38,3634.95,4
56,6423.36,119,0,3424.23,2999.13,1
57,1234.49,171,0,982.0,252.49,9
58,7157.0,95,0,5734.21,1422.79,7
59,1052.94,113,5,569.01,483.93,9
60,2992.7,97,0,2472.21,520.49,5
61,9726.92,116,5,5735.94,3990.98,1
62,2836.81,116,0,1495.49,1341.32,9
63,2443.74,123,0,1304.76,1138.98,9
64,3310.12,101,25,2253.05,1057.07,3
65,6509.13,93,0,3482.76,3026.37,1
66,7140.65,181,0,4266.03,2874.62,1
67,1957.48,129,0,1006.95,950.53,9
68,6844.94,90,25,5034.54,1810.4,8
69,8523.44,9,0,4990.68,3532.76,4
70,4942.53,33,0,3082.48,1860.05,0
71,4476.27,144,25,2563.68,1912.59,6
72,1531.4,125,0,891.16,640.24,9
73,1039.78,136,5,585.89,453.89,9
74,3625.88,32,0,2697.2,928.68,0
75,6656.31,114,0,4980.89,1675.42,7
76,3139.98,140,15,2301.66,838.32,3
77,4062.04,145,0,3271.58,790.46,2
78,376.9,129,0,242.61,134.29,9
79,6432.44,136,20,4531.83,1900.61,6
80,530.1,133,5,353.73,176.37,9
81,3297.34,23,0,2149.33,1148.01,5
82,3715.97,133,10,2843.91,872.06,2
83,2363.71,133,0,1821.09,542.62,9
84,6242.31,135,0,4513.74,1728.57,2
85,8262.89,28,0,4289.42,3973.47,4
86,8873.98,5,20,5044.04,3829.94,8
87,8884.61,52,0,6224.67,2659.94,4
88,6239.79,13,5,4940.0,1299.79,0
89,2487.33,73,5,1634.89,852.44,5
90,7772.87,27,0,4869.57,2903.3,4
91,7256.56,61,0,5607.2,1649.36,4
92,2334.69,149,20,1743.42,591.27,3
93,6305.85,71,5,4833.3,1472.55,0
94,1740.69,193,0,1151.6,589.09,9
95,7026.63,58,0,5685.18,1341.45,0
96,6804.84,22,0,4901.59,1903.25,4
97,9026.27,145,20,6367.47,2658.8,8
98,5744.94,80,25,3069.44,2675.5,6
99,7797.72,128,0,4424.19,3373.53,1
100,8379.4,76,0,5538.73,2840.67,4
101,2484.79,83,0,1719.57,765.22,5
102,3702.3,15,15,2734.72,967.58,0
103,8092.26,40,0,6863.51,1228.75,4
104,6872.16,97,0,3915.28,2956.88,1
105,1727.47,58,0,1441.43,286.04,5
106,8528.24,157,0,5383.44,3144.8,1
107,6395.81,174,0,4819.25,1576.56,2
108,675.22,52,20,560.12,115.1,3
109,1058.28,136,0,690.36,367.92,9
110,3851.91,197,0,2701.47,1150.44,2
111,6027.51,15,0,3445.36,2582.15,0
112,2946.9,100,15,2477.59,469.31,3
113,3968.51,38,0,3063.63,904.88,0
114,4353.99,26,0,2196.3,2157.69,0
115,1127.66,133,20,754.08,373.58,3
116,7533.26,43,0,3872.84,3660.42,4
117,2658.85,146,0,2042.45,616.4,9
118,4214.1,20,25,3245.86,968.24,3
119,2562.87,9,0,2046.4,516.47,5
120,7875.01,30,0,4879.97,2995.04,4
121,5748.68,79,0,3351.4,2397.28,0
122,3939.12,17,20,2777.79,1161.33,3
123,2875.81,39,20,1779.07,1096.74,3
124,8648.65,43,0,6378.48,2270.17,4
125,3883.93,36,5,2286.47,1597.46,0
126,3641.16,42,0,2490.07,1151.09,0
127,2534.35,20,0,1436.06,1098.29,5
128,5149.84,89,0,3647.66,1502.18,0
129,9089.85,90,0,6473.72,2616.13,4
130,8883.98,125,0,4888.32,3995.66,1
131,4200.44,181,0,3294.85,905.59,2
132,7229.95,133,0,3628.79,3601.16,1
133,9778.04,186,0,7137.64,2640.4,7
134,2816.91,104,5,2375.92,440.99,9
135,1746.76,173,0,1473.62,273.14,9
136,4539.36,22,0,2299.61,2239.75,0
137,7895.35,90,0,6426.26,1469.09,7
138,8209.72,187,0,5256.64,2953.08,1
139,6263.31,107,20,4385.75,1877.56,6
140,9552.11,127,0,7173.96,2378.15,7
141,2501.43,107,0,1816.9,684.53,9
142,6857.06,9,15,5816.7,1040.36,8
